trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.19078968974567,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,4,-158.42763523187756,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-80.3523040411311,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-66.35863953669242,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-83.9426635814933,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-54.12550972801723,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-51.37370100478596,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.983647634435755,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-199.76165244260855,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-70.30453500336804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-150.81129650763833,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-12.541925134942415,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-37.37766582234649,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,-70.58370811459558,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-29.71262111545373,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,13.147839544285342,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-72.04431492558741,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,3.512917144122667,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-35.026247878929745,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,7.633050510623575,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,14,-19.905897080295347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,10,-53.12320422518093,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,18,-42.26745159824698,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,8,3.2926371967390837,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,8.91126139763637,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,-10.25390643480729,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,0,-24.44386797653062,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-31.013095483789343,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,16,6.405564785012906,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,5.889791369629343,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
