trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9876765632119844}",20,12,13.492297038998773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.9755049935182369}",30,16,28.92776233574381,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.9634834193942213}",25,11,16.88408590466562,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.9516099923790156}",20,16,8.277970954734968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.7, 'e': 0.9398828867910888}",20,9,25.248608467906255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.9283002994475812}",25,5,31.502432610810196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.9168604493870429}",20,12,15.06574116966382,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.9055615775955901}",20,6,13.817755859552292,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.8944019467364351}",20,14,11.197090708757973,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.8833798408827506}",25,19,13.379111641611075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.8724935652538247}",25,8,3.088608212543309,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.8617414459544688}",25,12,-1.1365275894587008,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.8511218297176357}",20,0,6.586914311931961,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.8406330836502103}",25,16,13.320740446387486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.8302735949819323}",25,14,21.056486112765867,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
