trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.307452332223395,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.25947205105405,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.01668327129036,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.68388089139543,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,18,-0.1139614902007553,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.49277089779035,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.0922198097065,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.57516207934644,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.840624788263014,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.48380626995456,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.47090467557932,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.4670551036938,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.5916552994871,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.67739485536146,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.9401732944256,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,12,-89.08515334184337,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.51227890302758,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.18808897670822,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.18576353403819,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.65871827932395,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-308.3682046457318,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.50468221166548,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,2,-125.03919475463634,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.94923814918549,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.98492822720914,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.20009476952588,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-176.5835661326211,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.37918178240264,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.1006484821118,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.44547053004304,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
